		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.914062	M = 1500	N = 8	m = 9	n = 12000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111110010    6    3    2    0    4    7    3    2 13.265972 0.103020 SUCCESS 141
111110100    2    5    2    1    1    2    4    4  5.840765 0.665063 SUCCESS 142
111110110    5    3    8    0    3    3    2    2 14.264458 0.075128 SUCCESS 143
111111000    1    1    2    1    2    2    3    2  5.062939 0.750828 SUCCESS 144
111111010    1    0    4    3    0    3    1    2  9.299609 0.317655 SUCCESS 145
111111100    4    4    2    1    5    2    3    4  4.671267 0.792064 SUCCESS 146
111111110    3    3    4    1    4    3    5    4  4.086519 0.849234 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.914062	M = 1500	N = 8	m = 9	n = 12000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    3    3    5    1    3    4    3  3.551418 0.895163 SUCCESS   0
000000011    3    2    4    3    1    2    2    3  2.602580 0.956776 SUCCESS   1
000000101    3    3    6    5    4    1    2    5  8.444552 0.391292 SUCCESS   2
000000111    3    1    4    3    1    2    3    3  3.308692 0.913520 SUCCESS   3
000001001    5    2    4    1    4    0    2    4  7.666726 0.466683 SUCCESS   4
000001011    3    7    3    5    3    2    3    3  7.738440 0.459428 SUCCESS   5
000001101    7    2    5    4    1    2    3    1 11.026273 0.200215 SUCCESS   6
000001111    3    0    8    2    0    3    3    2 15.726330 0.046469 SUCCESS   7
000010001    2    4    5    4    3    4    2    3  3.380407 0.908271 SUCCESS   8
000010011    4    3    2    1    2    3    3    5  3.843793 0.870935 SUCCESS   9
000010101    4    0    2    1    5    2    1    2  8.422486 0.393325 SUCCESS  10
000010111    2    4    2    8    5    2    2    0 15.262944 0.054230 SUCCESS  11
000011001    3    3    0    2    4    1    2    0  8.301123 0.404622 SUCCESS  12
000011011    6    3    5    2    1    2    2    2  7.374352 0.496833 SUCCESS  13
000011101    3    3    1    3    1    6    7    3 11.853748 0.157850 SUCCESS  14
000011111    3    1    5    2    0    2    6    1 11.075922 0.197434 SUCCESS  15
000100011    2    5    3    3    3    3    2    3  2.139195 0.976444 SUCCESS  16
000100101    3    5    2    3    4    3    3    3  2.260558 0.971964 SUCCESS  17
000100111    2    3    1    3    3    3    4    6  5.377379 0.716584 SUCCESS  18
